codigo,producto,precio
1940,(OFERTA) LA GANEXA alfajor proteico sabor caramelo salado x 2 unid,0.0
1735,"1 - FUARK JOGGER LINE BLACK ""L""",30810.0
1734,"1 - FUARK JOGGER LINE BLACK ""M""",30810.0
1749,"10 - FUARK POLLERA TECH LILA ""M""",23140.0
1748,"10 - FUARK POLLERA TECH LILA ""S""",23140.0
1750,"10 - FUARK POLLERA TECH LILA ""XL""",23140.0
1751,"11 - FUARK CALZA LARGA PRO GYM BLACK ""L""",28600.0
1752,"12 - FUARK CALZA LARGA PRO GYM PETROLEO ""L""",28600.0
1753,"13 - FUARK CALZA LARGA SPORT GREY SPEED ""S""",14300.0
1754,"14 - FUARK CALZA CORTA CORE PINK ""S""",20410.0
1755,"15 - FUARK CALZA CORTA CORE CHOCO ""M""",20410.0
1756,"16 - FUARK SHORT TECH LILA ""M""",23140.0
1758,"17 - FUARK SHORT TECH BLACK ""M""",23140.0
1757,"17 - FUARK SHORT TECH BLACK ""S""",23140.0
1761,"18 - FUARK SHORT SPECIAL BEIGE ""L""",23270.0
1760,"18 - FUARK SHORT SPECIAL BEIGE ""M""",23270.0
1759,"18 - FUARK SHORT SPECIAL BEIGE ""S""",23270.0
1762,"19 - FUARK SHORT OCEAN BLACK ""S""",23270.0
1763,"19 - FUARK SHORT OCEAN BLACK ""XL""",23270.0
1736,"2 - FUARK KIT SPORT LIGHT BLUE CORTO  ""L""",18200.0
1766,"20 - FUARK TOP SPORT ""L""",9165.0
1765,"20 - FUARK TOP SPORT ""M""",9165.0
1764,"20 - FUARK TOP SPORT ""S""",9165.0
1767,"21 - FUARK COLLAR LIFTER ""S""",11310.0
1768,"22 - FUARK HOODIE TRAINHARD BLACK ""M""",15470.0
1769,"22 - FUARK HOODIE TRAINHARD BLACK ""XL""",15470.0
1771,"23 - FUARK PANTALON WINDKIT LINE FULL BLACK ""L""",31915.0
1770,"23 - FUARK PANTALON WINDKIT LINE FULL BLACK ""S""",31915.0
1772,"24 - FUARK SHORT SWIM AQUA ""M""",20410.0
1773,"25 - FUARK SHORT TRAIN HARDER BEIGE ""L""",23270.0
1774,"25 - FUARK SHORT TRAIN HARDER BEIGE ""XL""",23270.0
1775,"26 - FUARK SHORT TRACE GREEN ""L""",23270.0
